Date,,Rachel / Papineau,Berri1,Maisonneuve_1,Maisonneuve_2,Brébeuf,Parc,PierDup,CSC (Côte Sainte-Catherine),Pont_Jacques_Cartier,Totem_Laurier,Notre-Dame,Rachel / Hôtel de Ville,Saint-Antoine,René-Lévesque,Viger,Boyer,Maisonneuve_3,University
13/01/2013,00:00,215,111,74,179,,89,0,3,,,,,,,,,,
14/01/2013,00:00,565,490,349,752,,400,0,58,,,,,,,,,,
15/01/2013,00:00,658,581,365,771,,383,0,70,,,,,,,,,,
16/01/2013,00:00,553,553,360,778,,410,0,78,,,,,,,,,,
17/01/2013,00:00,423,326,187,463,,206,1,28,,,,,,,,,,
18/01/2013,00:00,315,281,189,366,,205,0,12,,,,,,,,,,
19/01/2013,00:00,91,49,26,104,,24,0,0,,,,,,,,,,
20/01/2013,00:00,74,50,39,57,,26,6,0,,,,,,,,,,
21/01/2013,00:00,235,143,77,301,,127,0,7,,,,,,,,,,
22/01/2013,00:00,257,154,108,307,,110,0,4,,,,,,,,,,
23/01/2013,00:00,163,111,67,231,,71,1,7,,,,,,,,,,
24/01/2013,00:00,189,128,76,246,,83,1,5,,,,,,,,,,
25/01/2013,00:00,217,139,81,250,,87,2,3,,,,,,,,,,
26/01/2013,00:00,119,40,44,108,,43,0,0,,,,,,,,,,
27/01/2013,00:00,90,48,50,108,,50,0,1,,,,,,,,,,
28/01/2013,00:00,265,198,132,339,,141,4,6,,,,,,,,,,
29/01/2013,00:00,294,218,135,312,,111,5,0,,,,,,,,,,
30/01/2013,00:00,336,284,202,403,,185,4,3,,,,,,,,,,
31/01/2013,00:00,295,237,152,395,,135,0,33,,,,,,,,,,
01/02/2013,00:00,294,233,179,325,,159,11,24,,,,,,,,,,
02/02/2013,00:00,155,82,51,103,,55,1,10,,,,,,,,,,
03/02/2013,00:00,128,85,51,91,,27,9,4,,,,,,,,,,
04/02/2013,00:00,325,234,137,389,,163,4,6,,,,,,,,,,
05/02/2013,00:00,327,295,172,407,,188,5,8,,,,,,,,,,
06/02/2013,00:00,379,325,196,447,,244,13,9,,,,,,,,,,
07/02/2013,00:00,328,234,162,403,,192,3,7,,,,,,,,,,
08/02/2013,00:00,138,148,71,212,,43,2,0,,,,,,,,,,
09/02/2013,00:00,113,58,59,81,,44,0,0,,,,,,,,,,
10/02/2013,00:00,146,82,61,128,,45,0,0,,,,,,,,,,
11/02/2013,00:00,274,225,135,341,,150,3,2,,,,,,,,,,
12/02/2013,00:00,392,342,181,446,,188,5,0,,,,,,,,,,
13/02/2013,00:00,441,363,239,540,,220,7,0,,94,,,,,,,,
14/02/2013,00:00,472,440,290,567,,234,19,3,,216,,,,,,,,
15/02/2013,00:00,373,301,208,480,,180,7,0,,137,,,,,,,,
16/02/2013,00:00,252,156,120,215,,106,11,2,,107,,,,,,,,
17/02/2013,00:00,184,118,65,152,,66,10,0,,82,,,,,,,,
18/02/2013,00:00,359,265,177,407,,205,4,1,,134,,,,,,,,
19/02/2013,00:00,437,403,236,451,,252,7,3,,204,,,,,,,,
20/02/2013,00:00,174,162,73,164,,82,0,0,,143,,,,,,,,
21/02/2013,00:00,200,160,94,224,,66,4,0,,144,,,,,,,,
22/02/2013,00:00,330,259,162,328,,135,0,1,,223,,,,,,,,
23/02/2013,00:00,131,110,81,103,,34,3,0,,99,,,,,,,,
24/02/2013,00:00,144,75,85,128,,53,2,1,,120,,,,,,,,
25/02/2013,00:00,410,284,212,455,,205,1,0,,391,,,,,,,,
26/02/2013,00:00,522,411,290,565,,262,6,1,,432,,,,,,,,
27/02/2013,00:00,351,297,178,405,,162,4,2,,340,,,,,,,,
28/02/2013,00:00,283,205,138,339,,126,6,0,,306,,,,,,,,
01/03/2013,00:00,395,291,221,442,,172,12,1,,351,,,,,,,,
02/03/2013,00:00,238,169,111,184,,79,12,1,,209,,,,,,,,
03/03/2013,00:00,133,119,74,101,,46,1,0,,87,,,,,,,,
04/03/2013,00:00,357,252,149,420,,135,4,1,,249,,,,,,,,
05/03/2013,00:00,400,484,312,577,,171,11,2,,229,,,,,,,,
06/03/2013,00:00,539,475,290,636,,222,16,6,,457,,,,,,,,
07/03/2013,00:00,562,484,295,572,,267,16,7,,454,,,,,,,,
08/03/2013,00:00,621,536,387,772,,300,26,12,,553,,,,,,,,
09/03/2013,00:00,671,415,311,569,,252,98,24,,543,,,,,,,,
10/03/2013,00:00,550,345,204,463,,234,67,43,,488,,,,,,,,
11/03/2013,00:00,883,669,430,1092,,622,50,227,,700,,,,,,,,
12/03/2013,00:00,595,478,327,663,,407,20,153,,649,,,,,,,,
13/03/2013,00:00,946,831,547,1197,,654,46,360,,696,,,,,,,,
14/03/2013,00:00,647,523,320,722,,422,10,178,,519,,,,,,,,
15/03/2013,00:00,651,542,415,714,,389,15,196,,607,,,,,,,,
16/03/2013,00:00,420,243,175,355,,210,41,103,,418,,,,,,,,
